platform/scripts/graph-health	both	read	Domain,Product,SubDomain	19:INSTANCES_GRAPH="urn:chorus:instances"
platform/scripts/hats-appointments-4175.py	instances	read	Service,Hat	17:urn:chorus:instances — the graph the door reports as servedFrom. Until that is
platform/scripts/migrate-4154-codefile-catchall.sh	instances	both	CodeFile	12:curl -sf -H 'Accept: text/csv' --data-urlencode 'query=PREFIX c: <https://jeffbr
platform/scripts/products-3603-migrate.sh	ontology	both	?	38:GRAPH="urn:chorus:ontology"
platform/scripts/restore-drill.sh	both	read	?	58:GRAPHS="urn:chorus:ontology urn:chorus:instances urn:chorus:domains:security"
platform/scripts/security-3618-migrate.sh	ontology	both	?	33:GRAPH="urn:chorus:ontology"
platform/scripts/security-sweep	ontology	read	APISurface	9:*               boots from (fuseki urn:chorus:ontology)
platform/scripts/service-harvest-load.sh	instances	read	Service,Commitment	12:# the reason Service rows fled to urn:chorus:instances). Jeff, 2026-09-03: a
platform/scripts/test-athena-deploy-model.bats	ontology	both	Domain,Test	14:TEST_GRAPH="urn:chorus:ontology-test-bats-3509"
platform/scripts/test-ontology-wipe-guard.sh	ontology	read	TBox	50:env ONTOLOGY_GRAPH="urn:chorus:test-\$\$" bash "\$ROOT/platform/scripts/$DEPLOY_
platform/scripts/wipe-guard-scan.sh	ontology	read	TBox	31:LIVE_B='urn:chorus:ontology([^-A-Za-z0-9]|$)'
platform/api/tests/athena.integration.test.ts	ontology	write	?	375:// which DROPs urn:chorus:ontology then reloads chorus.ttl ONLY, collapsing the 
platform/api/tests/class-atlas-3992.test.ts	ontology	read	?	5:// live query against urn:chorus:ontology on 2026-08-27 — never hand-shaped
platform/api/tests/class-atlas-constraints-4053.test.ts	ontology	read	?	5:// Counted live in urn:chorus:ontology on 2026-09-01: maxCount 44, pattern 7,
platform/api/tests/class-atlas-handler-4030.test.ts	ontology	read	?	41:expect(body.graph).toBe('urn:chorus:ontology');
platform/api/tests/class-atlas-served-4053.test.ts	ontology	read	?	3:// reads urn:chorus:ontology only, so it shows what the PEN declared and cannot 
platform/api/tests/quality-summary.integration.test.ts	ontology	read	?	33:generatedFrom: { graph: 'urn:chorus:ontology', shape: 'chorus:TestShape', shapeV
platform/api/tests/quality-summary.test.ts	ontology	read	?	42:graph: 'urn:chorus:ontology',
platform/api/tests/seed-loom-decisions.test.ts	instances	write	Decision	80:it('emits SPARQL INSERT DATA targeting urn:chorus:instances graph', () => {
platform/api/tests/regression/athena-batch.regression.integration.test.ts	ontology	read	?	26:_meta: { source: 'athena', query_name: queryName, graph: 'urn:chorus:ontology', 
platform/api/tests/regression/athena-enrichment-write.regression.test.ts	both	both	?	23:store.load(ttl, { format: 'text/turtle', to_graph_name: oxigraph.namedNode('urn:
platform/api/tests/regression/athena-subdomain-batch.regression.integration.test.ts	ontology	read	?	41:_meta: { source: 'athena', query_name: queryName, graph: 'urn:chorus:ontology', 
platform/api/tests/regression/athena-subdomain-detail.regression.integration.test.ts	ontology	read	?	21:_meta: { source: 'athena', query_name: queryName, graph: 'urn:chorus:ontology', 
platform/api/tests/regression/athena-subdomains.regression.integration.test.ts	ontology	read	?	24:_meta: { source: 'athena', query_name: queryName, graph: 'urn:chorus:ontology', 
platform/api/tests/regression/chorus-domain-multi-comment.regression.test.ts	instances	read	?	7:* present in urn:chorus:instances via direct SPARQL.
platform/api/tests/regression/chorus-domain.regression.integration.test.ts	both	read	?	31:sparql: async (query) => sparql(query.replace(/urn:chorus:instances/g, 'urn:chor
platform/api/tests/regression/replay-chorus-domain-enrichment.regression.test.ts	both	read	?	138:// Dump contains real-world IDs like "role-declared.json" and "fuseki-tdb2-(urn:
platform/api/tests/regression/golden/athena-blast-radius.json	ontology	read	?	5:"graph": "urn:chorus:ontology",
platform/api/tests/regression/golden/athena-health.json	ontology	read	?	5:"graph": "urn:chorus:ontology"
platform/api/tests/regression/golden/athena-machines.json	ontology	read	?	5:"graph": "urn:chorus:ontology",
platform/api/tests/regression/golden/athena-owners.json	ontology	read	?	5:"graph": "urn:chorus:ontology",
platform/api/tests/regression/golden/athena-subdomain-actors.json	ontology	read	?	5:"graph": "urn:chorus:ontology",
platform/api/tests/regression/golden/athena-subdomain-alerts.json	ontology	read	?	5:"graph": "urn:chorus:ontology",
platform/api/tests/regression/golden/athena-subdomain-cards.json	ontology	read	?	5:"graph": "urn:chorus:ontology",
platform/api/tests/regression/golden/athena-subdomain-code.json	ontology	read	?	5:"graph": "urn:chorus:ontology",
platform/api/tests/regression/golden/athena-subdomain-completeness.json	ontology	read	?	5:"graph": "urn:chorus:ontology",
platform/api/tests/regression/golden/athena-subdomain-contract.json	ontology	read	?	5:"graph": "urn:chorus:ontology",
platform/api/tests/regression/golden/athena-subdomain-coverage.json	ontology	read	?	5:"graph": "urn:chorus:ontology",
platform/api/tests/regression/golden/athena-subdomain-detail.json	ontology	read	?	5:"graph": "urn:chorus:ontology"
platform/api/tests/regression/golden/athena-subdomain-endpoints.json	ontology	read	?	5:"graph": "urn:chorus:ontology",
platform/api/tests/regression/golden/athena-subdomain-integrations.json	ontology	read	?	5:"graph": "urn:chorus:ontology",
platform/api/tests/regression/golden/athena-subdomain-pages.json	ontology	read	?	5:"graph": "urn:chorus:ontology",
platform/api/tests/regression/golden/athena-subdomain-persistence.json	ontology	read	?	5:"graph": "urn:chorus:ontology",
platform/api/tests/regression/golden/athena-subdomain-prior-art.json	ontology	read	?	5:"graph": "urn:chorus:ontology",
platform/api/tests/regression/golden/athena-subdomain-scenarios.json	ontology	read	?	5:"graph": "urn:chorus:ontology",
platform/api/tests/regression/golden/athena-subdomain-test-coverage.json	ontology	read	?	5:"graph": "urn:chorus:ontology",
platform/api/tests/regression/golden/athena-subdomains.json	ontology	read	?	5:"graph": "urn:chorus:ontology",
platform/api/tests/handlers/catalog-curation.test.ts	instances	read	?	90:expect(u).toContain('urn:chorus:instances');
platform/api/tests/handlers/chorus-domain-dependencies.test.ts	both	read	?	52:test('consumes query reads from urn:chorus:instances (graph-split: writes go the
platform/api/tests/handlers/domain-identity.test.ts	ontology	read	?	90:it('defaults ontologyGraph to urn:chorus:ontology', () => {
platform/api/public/chorus-er-diagram.js	ontology	read	Product	27:sparql('PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>\nPREFIX owl: <http:
platform/api/public/chorus-instance-explorer.js	ontology	read	?	6:const GRAPH = 'urn:chorus:ontology';
platform/api/public/borg/graph-validate.txt	both	read	?	1:=== athena-validate — conformance sweep over GRAPH <urn:chorus:instances> ===
